,MOFname,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],functional_groups,metal_linker,organic_linker1,organic_linker2,topology,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],CO2_working_capacity [mL/g]
425,mof_unit_pretest_426,1665.262425,1029.29772,1358.97,0.24673,0.2404,NO2-NH2,3,4,6,pcu,16.1980337,5.470841,94.23578
426,mof_unit_pretest_427,8675.638376,6463.36552,1053.38,0.2051599999999999,0.1658,COOH-Br,1,15,22,pcu,22.40721792,6.300967,157.97894
427,mof_unit_pretest_428,3416.384951,1669.1434800000004,2361.02,0.3355,0.4135,Cl-H,9,7,16,sra,30.44831479,5.9296440000000015,83.75133
428,mof_unit_pretest_429,7730.988087999999,4877.83464,1885.71,0.325,0.3102,OH-I,3,38,41,fof,27.07336151,5.8464339999999995,87.18632
429,mof_unit_pretest_430,1561.685845,1003.73336,1311.3,0.19426,0.182,OMe-HCO,2,1,17,pcu,36.71873028,6.27024,140.36516
430,mof_unit_pretest_431,2465.8310260000007,1701.0455600000007,345.6,0.08907000000000001,0.0778,OPr-OH,9,13,16,sra,81.19052643,7.499639,177.70358
431,mof_unit_pretest_432,7705.545670999999,4715.03336,1651.65,0.30388000000000004,0.2991,Cl-NO2,3,38,40,fof,29.82491516,5.643086,87.34009
432,mof_unit_pretest_433,1430.649771,1127.4904800000004,651.27,0.13757,0.1051,SO3H-NO2,3,14,21,pcu,71.52350851,7.139253999999998,153.48373
433,mof_unit_pretest_434,1593.67461,1019.2448800000001,1356.03,0.20213,0.1903,HCO-NO2,3,12,17,pcu,53.768275100000004,7.365897,184.96632
434,mof_unit_pretest_435,2333.114622,1039.7477199999996,2419.1,0.30915,0.4178,HCO-Et,3,18,22,pcu,11.99038449,5.18959,74.74716
435,mof_unit_pretest_436,1667.485891,766.3364,2593.44,0.31074,0.4072,Me-NO2,3,4,25,pcu,10.65035579,5.340998,73.86007
436,mof_unit_pretest_437,4157.043785,2039.2113600000002,2594.42,0.33079000000000003,0.4061,,12,10,24,bcu,14.92067734,5.49381,74.636856
437,mof_unit_pretest_438,2516.910975,1243.7385,2752.33,0.37928,0.4622,SO3H-Cl,3,11,28,pcu,12.40006411,4.887827,59.933598
438,mof_unit_pretest_439,2193.107501,1510.87312,0.0,0.10335,0.0903,OMe,3,22,22,pcu,29.18416543,7.331271000000001,162.76114
439,mof_unit_pretest_440,7330.6386200000015,4257.76676,1004.16,0.2177199999999999,0.2257,NHMe-Br,4,27,27,acs,22.12528459,5.339933,110.15875
440,mof_unit_pretest_441,1631.900151,1403.66096,0.0,0.04111,0.0288,NO2-OEt,9,22,24,sra,43.96998881,8.123839,130.22314
441,mof_unit_pretest_442,715.495147,555.20492,0.0,0.0529,0.0411,Me-Et,3,10,11,pcu,30.60869384,7.886019,118.946045
442,mof_unit_pretest_443,4255.696494,3249.9718399999997,0.0,0.10497000000000001,0.0828,HCO-NHMe,4,19,22,acs,77.7601167,7.933383999999998,210.9685
443,mof_unit_pretest_444,5720.414189,1502.56924,4569.92,0.55602,1.2748,Et-NH2,2,17,29,pcu,10.02415377,4.840924,56.560524
444,mof_unit_pretest_445,2664.970261,1729.632896,1059.47,0.22753,0.2111,NH2-Me,10,51,55,etb,14.93776107,5.257625,83.0775
445,mof_unit_pretest_446,2634.644636,963.65836,3512.4,0.41061000000000003,0.6761,NHMe-Et,3,2,16,pcu,7.849686104,5.074601,54.402966
446,mof_unit_pretest_447,3807.46192,4112.37008,0.0,0.02525,0.0141,COOH-I,4,17,17,acs,20.5592301,9.28008,181.51097
447,mof_unit_pretest_448,1871.7713579999997,1304.78628,0.0,0.07677,0.0663,OPr,9,16,22,sra,62.28636776,9.850964,199.81656
448,mof_unit_pretest_449,2555.9232859999997,1198.46684,2306.67,0.27987,0.3594,COOH-Pr,1,12,13,pcu,17.38448439,5.658528,94.71658
449,mof_unit_pretest_450,2535.796693,1202.27278,2405.96,0.39661,0.5038,Ph-Br,3,16,25,pcu,12.48629236,5.4228309999999995,76.49765
450,mof_unit_pretest_451,1636.277474,1104.46852,0.0,0.1203,0.1073,Pr-H,9,5,16,sra,111.26363729999998,8.830036,171.37045
451,mof_unit_pretest_452,2292.687262,973.53896,2934.21,0.3819099999999999,0.5416,NH2-H,3,13,17,pcu,11.43101511,5.1760519999999985,64.3638
452,mof_unit_pretest_453,1729.316221,966.10876,1989.61,0.2764,0.2979,Ph-OEt,1,10,16,pcu,12.46489374,5.395758,90.645996
453,mof_unit_pretest_454,2018.8242670000002,1071.541333,2214.57,0.30529,0.3464,Cl-F,2,18,24,pcu,14.98191241,5.044693,70.515495
454,mof_unit_pretest_455,1651.397857,1243.47632,545.66,0.14769000000000002,0.1181,HCO-NH2,4,1,5,acs,28.64543124,7.131697999999999,160.74338
455,mof_unit_pretest_456,1088.35357,537.42576,2377.63,0.32879,0.401,H,2,10,26,pcu,10.16582982,4.7011199999999995,52.477802
456,mof_unit_pretest_457,2562.28506,1147.71344,3053.73,0.3421,0.4599,SO3H-OEt,3,18,19,pcu,12.76631253,5.8902339999999995,86.60325
457,mof_unit_pretest_458,1906.313545,1100.1603599999999,0.0,0.09572,0.0999,OPr,2,2,5,pcu,57.30015255,8.490905999999999,191.9901
458,mof_unit_pretest_459,2416.430001,1275.7696,1712.92,0.24645,0.2811,CN-OEt,3,22,28,pcu,20.83616959,5.547901,95.18358
459,mof_unit_pretest_460,1249.208792,766.21866,0.0,0.16562000000000002,0.1626,H-CN,3,12,16,pcu,28.371616200000002,6.32335,118.10135
460,mof_unit_pretest_461,1804.664448,855.79488,2256.66,0.32087,0.4075,NH2-OEt,2,14,26,pcu,12.54534496,5.504561,86.50548
461,mof_unit_pretest_462,2570.290849,1718.223329,0.0,0.15412,0.1388,H-F,12,9,22,bcu,50.4658749,6.951321000000001,153.05237
462,mof_unit_pretest_463,1173.618019,1388.95408,0.0,0.12039000000000001,0.0613,SO3H-I,3,1,4,pcu,93.43529769,8.787471,122.94768
463,mof_unit_pretest_464,3393.470502,2583.313189,814.65,0.15687,0.1241,CN-F,2,16,16,pcu,18.021669600000006,6.070164,134.9673
464,mof_unit_pretest_465,1747.0308760000007,1037.5000400000001,1627.99,0.22464,0.2278,Cl,2,10,29,pcu,60.42556327,6.914606,167.34886
465,mof_unit_pretest_466,4135.648053,2148.1625559999998,1825.73,0.37811,0.4384,Cl-NH2,10,54,56,etb,16.22048089,5.644181,77.794044
466,mof_unit_pretest_467,6283.104362,2746.14788,2902.84,0.33876,0.4668,Et-SO3H,4,7,27,acs,15.65048015,6.137727,102.2682
467,mof_unit_pretest_468,5184.12656,3620.2238799999996,365.82,0.1178,0.1016,OPr-I,12,1,24,bcu,47.01393871,7.027128,177.27432
468,mof_unit_pretest_469,1245.399556,767.36268,0.0,0.12933,0.1264,OPr,3,5,7,pcu,46.48380083,7.344711,141.73831
469,mof_unit_pretest_470,897.14671,609.1031429999998,1036.54,0.18404,0.1632,CN-F,3,4,10,pcu,21.78945051,6.177318,137.56488
470,mof_unit_pretest_471,1129.5109929999999,815.77232,0.0,0.10969000000000001,0.0915,Ph,2,1,12,pcu,37.22152439,7.759486,138.88376
471,mof_unit_pretest_472,1129.213799,883.22284,0.0,0.0983899999999999,0.0758,COOH-NH2,3,1,14,pcu,57.79833999,7.797528,127.613434
472,mof_unit_pretest_473,4145.307260000001,2645.84184,1268.9,0.2188699999999999,0.2065,SO3H-H,4,6,17,acs,23.07833374,6.07247,109.4451
473,mof_unit_pretest_474,1110.486424,919.4052199999999,772.13,0.15557,0.1132,I,2,14,22,pcu,46.22500092,7.639602,161.90993
474,mof_unit_pretest_475,2207.728918,1420.7591730000001,0.0,0.1277299999999999,0.1195,F-OMe,9,18,22,sra,107.8065699,8.625424,187.26077
475,mof_unit_pretest_476,1620.671226,975.4856,1089.8,0.1708599999999999,0.1709,OMe,3,12,17,pcu,27.65036939,6.871159,178.20868
476,mof_unit_pretest_477,2011.082071,1175.174659,1871.42,0.33457,0.3448,Cl-F,2,14,27,pcu,17.56357971,5.5724029999999996,86.00158
477,mof_unit_pretest_478,2779.456779,1007.9006800000001,4398.24,0.42862,0.7118,Me,2,12,29,pcu,8.893391684,4.2839800000000015,41.843033
478,mof_unit_pretest_479,2220.5363469999998,1494.5958,949.68,0.16832,0.1506,OH-NH2,9,17,24,sra,23.41335961,5.924015,114.48225
479,mof_unit_pretest_480,950.5729460000001,835.41132,478.63,0.10782,0.0739,COOH,2,1,5,pcu,75.37543941,7.877936,146.36043
480,mof_unit_pretest_481,1134.467856,823.3453400000002,1154.33,0.2283,0.1894,HCO-Br,2,4,14,pcu,15.88127615,6.178301,121.47765
481,mof_unit_pretest_482,2464.378408,1852.80688,0.0,0.06892000000000001,0.0552,COOH,9,16,16,sra,75.50016841,7.825025,181.82193
482,mof_unit_pretest_483,1410.415928,1260.3578400000001,0.0,0.02528,0.017,NH2-NO2,9,5,2,sra,36.57322702,9.229379,133.49997
483,mof_unit_pretest_484,1691.223865,1152.90616,1229.7,0.21996,0.1943,Cl-OH,3,16,24,pcu,14.64794038,5.575004,94.258865
484,mof_unit_pretest_485,6981.4988,3724.399706,2093.7,0.34188,0.3859,F-SO3H,3,18,18,pcu,21.15589481,5.800549,101.94518
485,mof_unit_pretest_486,5098.648215,2140.1949600000007,2565.13,0.3463199999999999,0.4969,H-Me,2,18,18,pcu,16.65857674,5.230706,77.965126
486,mof_unit_pretest_487,1568.85835,1102.34386,1268.27,0.27543,0.2361,OH-Br,2,4,18,pcu,18.64760601,6.025878,110.05643
487,mof_unit_pretest_488,1317.843631,873.500882,1351.47,0.22925,0.2083,F-HCO,2,1,16,pcu,21.36764888,5.48125,97.57108
488,mof_unit_pretest_489,1069.822842,1450.4259,0.0,0.09935,0.0441,NO2-I,3,1,12,pcu,55.28997186,7.56693,112.88271
489,mof_unit_pretest_490,1136.727103,1094.8046,0.0,0.07768,0.0486,Cl-I,2,4,9,pcu,51.44333211,7.897572,106.272446
490,mof_unit_pretest_491,2255.8863899999997,1376.58891,1736.04,0.26471,0.2612,F,4,4,19,acs,20.69367521,5.403986,77.2327
491,mof_unit_pretest_492,1928.133925,811.56524,3424.69,0.4269699999999999,0.6109,COOH,2,2,5,pcu,12.78475041,4.772687,51.20707
492,mof_unit_pretest_493,6290.549905,2525.0307,2884.27,0.4505699999999999,0.6759999999999999,HCO-Cl,9,3,28,sra,16.056162699999998,6.449573,101.46925
493,mof_unit_pretest_494,1511.025794,1176.917373,1042.25,0.22228,0.1719,Br-F,3,14,18,pcu,27.87242826,5.928354,103.009796
494,mof_unit_pretest_495,3094.742295,1405.85184,2350.15,0.32244,0.4275,OPr-HCO,3,18,21,pcu,21.43568378,5.7624010000000006,87.95313
495,mof_unit_pretest_496,5192.210632,3152.61352,1583.35,0.25926,0.2571,NH2-Cl,12,4,24,bcu,16.04682256,5.574978,84.69771
496,mof_unit_pretest_497,5111.486116,1876.68136,2780.45,0.38675,0.6344,OPr-NHMe,3,18,28,pcu,13.62404036,5.515093,70.57592
497,mof_unit_pretest_498,1123.9512300000001,629.52112,1691.46,0.26878,0.289,OH,2,4,4,pcu,14.52920759,5.8260239999999985,118.20089
498,mof_unit_pretest_499,1311.221843,823.4822,850.69,0.13598,0.1304,Me-NHMe,3,10,27,pcu,38.34403097,7.525655,212.8477
499,mof_unit_pretest_500,5323.167284,2145.3604,2464.88,0.39288,0.5871,OMe,9,18,28,sra,45.39709237,7.3589509999999985,125.9076
500,mof_unit_pretest_501,1678.2203780000002,1365.92408,158.08,0.05586,0.0413,Et-NH2,9,4,22,sra,36.12307085,7.842661,145.63167
501,mof_unit_pretest_502,1536.1321,859.8679400000002,1189.57,0.1930599999999999,0.2077,Me-H,2,16,24,pcu,16.71280008,6.1689680000000005,156.17035
502,mof_unit_pretest_503,2274.553897,1546.8268,0.0,0.10371,0.0918,Pr,3,14,14,pcu,70.59261535,8.549341,192.75323
503,mof_unit_pretest_504,1319.359612,750.10002,1586.7,0.2366,0.2506,Cl-Et,2,4,16,pcu,16.63486455,5.892601,129.89635
504,mof_unit_pretest_505,2550.090978,1095.86064,2887.67,0.29556,0.4142,NH2-Et,3,18,19,pcu,14.45249062,5.482371,78.63179
505,mof_unit_pretest_506,1658.5131470000001,729.27472,3214.75,0.36882,0.5051,OH,3,14,25,pcu,12.63402929,5.3697339999999985,67.16969
506,mof_unit_pretest_507,4284.170534000001,2222.57984,1861.33,0.29651,0.3442,NHMe-OH,1,9,24,pcu,16.58274993,5.713178,87.89587
507,mof_unit_pretest_508,1985.752803,1180.68224,1246.09,0.17902,0.1813,Cl-Et,2,18,24,pcu,28.03144829,6.893741,172.56342
508,mof_unit_pretest_509,5068.963215,2233.03042,2562.23,0.36324,0.4966,OH-NHMe,3,9,11,nbo,10.45741255,5.462123,83.97854
509,mof_unit_pretest_510,2130.671177,1668.2567199999999,0.0,0.07021000000000001,0.054000000000000006,OMe-COOH,2,9,18,pcu,34.47272745,8.142709,184.02917
510,mof_unit_pretest_511,3401.31553,2053.07416,1056.92,0.16537000000000002,0.165,CN,9,10,29,sra,73.42241193,7.305103999999999,167.20407
511,mof_unit_pretest_512,5290.112879,3192.27904,1225.25,0.17842,0.1781,CN-H,12,22,22,bcu,33.63499308,7.225847,144.15463
512,mof_unit_pretest_513,6300.455134000002,2175.06432,3452.09,0.4912399999999999,0.8569,COOH,3,17,17,pcu,11.83268407,4.586882,58.337105
513,mof_unit_pretest_514,1950.107984,1629.033943,0.0,0.06656000000000001,0.048,F,4,4,9,acs,86.69361497,9.26115,182.57556
514,mof_unit_pretest_515,3997.663331,1295.92004,3257.0,0.49118,0.9125,OEt,3,17,27,pcu,11.48792065,5.368953,58.833614
515,mof_unit_pretest_516,1985.028078,1371.83436,0.0,0.11771,0.1026,OMe-SO3H,3,1,3,pcu,25.16506049,6.819656,146.76111
516,mof_unit_pretest_517,1645.754915,1520.336843,0.0,0.13447,0.0877,F-I,4,5,24,acs,45.03977799,6.761450999999999,106.59854
517,mof_unit_pretest_518,2469.028282,935.5322630000001,3242.31,0.4292399999999999,0.6822,F-Et,3,16,18,pcu,10.17046084,4.903283,51.68762
518,mof_unit_pretest_519,4593.180708,1462.428299,3919.77,0.45036000000000004,0.8518,OPr-F,2,3,13,pcu,10.34685647,5.29171,61.950485
519,mof_unit_pretest_520,2169.9097420000007,2157.420836,0.0,0.04143,0.0251,NO2-HCO,10,48,51,etb,44.92299775,7.670282,123.66379
520,mof_unit_pretest_521,1156.6500640000004,750.44595,1575.11,0.23776,0.2207,NHMe-I,2,11,14,pcu,13.35334557,5.675132,98.89749
521,mof_unit_pretest_522,3249.867987,1468.7386800000004,2559.39,0.34262,0.4565,NO2-CN,9,16,26,sra,41.70312361,6.430353,95.20056
522,mof_unit_pretest_523,1166.72071,968.6781800000001,0.0,0.0,0.0,NHMe-Ph,3,14,22,pcu,21.82634065,8.044834,128.2934
523,mof_unit_pretest_524,4356.649072,2464.975360000001,0.0,0.21144000000000002,0.225,Me,1,9,15,pcu,15.8727345,5.701179,130.05585
524,mof_unit_pretest_525,2898.1295149999996,1192.11336,3090.84,0.40529,0.5934,SO3H-OEt,2,8,22,pcu,12.00824881,6.1038809999999994,87.22405
525,mof_unit_pretest_526,1114.133483,631.4924,1686.82,0.26893,0.2857,OH,2,1,22,pcu,15.49228326,5.679166,109.984634
526,mof_unit_pretest_527,939.8676859999999,593.48902,1132.39,0.18162,0.1732,OPr,2,4,5,pcu,19.13393494,6.0883980000000015,146.30843
527,mof_unit_pretest_528,1482.5358390000001,671.2801599999998,2364.21,0.34151,0.4542,Et-H,3,4,20,pcu,14.52064935,5.10542,66.92817
528,mof_unit_pretest_529,907.5676779999999,645.15676,0.0,0.12247000000000001,0.1038,HCO,3,10,18,pcu,66.79266624,7.127314,115.29205
529,mof_unit_pretest_530,3663.048909000001,1320.01788,3117.4,0.38621,0.6454,OEt,3,2,7,pcu,12.9917578,5.531725,67.15513
530,mof_unit_pretest_531,1609.406093,673.25298,3315.08,0.37822,0.5445,OPr,3,11,17,pcu,10.50881904,4.403933,45.978825
531,mof_unit_pretest_532,902.1203380000001,705.48636,0.0,0.1044799999999999,0.0805,HCO-H,2,4,10,pcu,90.72941359,8.053453,124.99819
532,mof_unit_pretest_533,1605.0388970000001,1362.580986,0.0,0.0,0.0,F-NH2,9,2,22,sra,72.27271187,10.04545,163.48962
533,mof_unit_pretest_534,2999.270231,1493.94154,2391.01,0.30746,0.3717,COOH-NO2,2,18,23,pcu,12.89520548,5.485641,83.575516
534,mof_unit_pretest_535,1248.480425,767.36268,934.79,0.13513,0.1324,OPr,3,5,7,pcu,18.964312300000003,6.300104,162.67662
535,mof_unit_pretest_536,2998.145741,1132.20684,3650.09,0.35164,0.5608,Me-OPr,2,18,23,pcu,8.66467761,4.990481,58.675137
536,mof_unit_pretest_537,1816.348621,1131.2558800000004,1136.05,0.17501,0.1692,NH2-Cl,3,10,29,pcu,49.07261717,7.187831,181.81961
537,mof_unit_pretest_538,3095.8098,1810.32702,1546.67,0.2217199999999999,0.2283,OMe-SO3H,12,4,13,bcu,26.14703399,6.279356,100.17589
538,mof_unit_pretest_539,2920.143007,1138.0675800000001,3339.24,0.43111000000000005,0.6661,Cl,3,14,29,pcu,11.74627912,5.098028,57.46982
539,mof_unit_pretest_540,1789.8196879999996,881.5841859999998,2481.17,0.3604,0.4406,F-H,2,14,26,pcu,12.38212942,5.245369,71.21248
540,mof_unit_pretest_541,2643.666825,1174.7834599999999,2570.34,0.29428000000000004,0.3988,CN-OEt,3,2,16,pcu,11.53789302,5.607457,86.42081
541,mof_unit_pretest_542,1870.2460399999998,1624.01252,565.04,0.11207,0.0777,I-H,9,5,18,sra,14.82772578,8.617161999999999,166.5
542,mof_unit_pretest_543,2899.9742149999997,1946.0704,1250.82,0.20381,0.1829,Cl-OH,9,16,17,sra,40.33873555,6.692710000000001,128.59819
543,mof_unit_pretest_544,2974.183047,1513.3509199999999,2195.82,0.38266,0.4529,I-Et,3,2,18,pcu,10.87951492,5.100839,69.97858
544,mof_unit_pretest_545,1589.087526,887.20824,2431.09,0.3248,0.3503,OH,3,1,17,pcu,16.33092361,5.739617,85.799095
545,mof_unit_pretest_546,3877.066803,2901.39768,297.49,0.13622,0.1096,H-OH,4,1,4,acs,64.42263191,6.452689,165.79141
546,mof_unit_pretest_547,3894.686316,3189.899693,197.06,0.09271,0.0682,F,4,4,15,acs,62.579279099999994,8.244468,224.64294
547,mof_unit_pretest_548,2105.644791,1452.6880800000001,0.0,0.08571000000000001,0.0748,COOH,9,18,24,sra,81.50383459999998,8.760234,187.01917
548,mof_unit_pretest_549,3752.4427490000003,2073.49772,1640.67,0.25044,0.2729,H,4,17,17,acs,40.15362582,6.018731,108.39568
549,mof_unit_pretest_550,1359.120188,1211.96094,594.3,0.15302000000000002,0.1033,I-COOH,9,5,24,sra,27.42488175,6.9443800000000016,109.456436
550,mof_unit_pretest_551,3562.254425,1380.061789,3119.06,0.35848,0.5572,F-Pr,3,7,16,pcu,11.31429097,5.202496,64.508095
551,mof_unit_pretest_552,4397.719525,1640.99976,3137.08,0.41936,0.6768,HCO,9,3,18,sra,31.83665713,6.7501809999999995,83.48372
552,mof_unit_pretest_553,1128.718562,897.29316,720.56,0.1521799999999999,0.1153,Br-COOH,2,4,11,pcu,32.94776569,6.478448,135.41736
553,mof_unit_pretest_554,3893.4945159999997,2721.50016,796.1,0.1560099999999999,0.1344,Et,4,1,11,acs,48.86421228,6.757542,157.12358
554,mof_unit_pretest_555,2207.737948,989.6161199999999,2394.43,0.34713,0.4664,NH2-NHMe,3,17,24,pcu,13.17782812,5.138281,70.959335
555,mof_unit_pretest_556,1542.800848,962.6482800000001,1512.5,0.22826,0.2203,NO2-H,2,4,18,pcu,35.17027176,6.25597,135.80707
556,mof_unit_pretest_557,1118.4721,727.6707200000002,1047.69,0.16354000000000002,0.1514,NH2,2,14,22,pcu,21.98808015,6.5411019999999995,165.64268
557,mof_unit_pretest_558,1300.727126,871.26004,1232.15,0.2204699999999999,0.1982,NO2-H,3,4,16,pcu,36.40484502,6.90762,160.34637
558,mof_unit_pretest_559,2301.149351,1990.6262399999998,0.0,0.10217000000000001,0.0711,NO2,3,22,22,pcu,38.14413816,7.178661,156.19507
559,mof_unit_pretest_560,1363.931648,932.2008400000001,889.41,0.17593,0.155,OMe,9,4,5,sra,19.423477300000002,5.580781,84.36611
560,mof_unit_pretest_561,2150.677291,1139.37252,2106.54,0.29158,0.3315,Cl-OPr,2,13,20,pcu,18.5464168,5.9830309999999995,106.87938
561,mof_unit_pretest_562,3052.050777,1561.62858,2375.34,0.35505,0.4179,NO2-I,12,4,13,bcu,19.06493565,5.225148,58.28962
562,mof_unit_pretest_563,2610.0054059999998,1504.68312,1359.44,0.19664,0.2054,Ph-NO2,9,13,21,sra,22.988122399999998,6.288094,112.910446
563,mof_unit_pretest_564,2927.246192,1021.7805599999999,3119.43,0.38808000000000004,0.6695,NHMe-Et,3,3,10,pcu,12.00450648,4.843883,53.764633
564,mof_unit_pretest_565,1082.6406470000004,714.854926,0.0,0.20054,0.1829,F-Cl,3,10,26,pcu,16.82990002,6.144181,105.234764
565,mof_unit_pretest_566,1308.038511,735.32236,1602.46,0.25743,0.2758,OEt,3,4,16,pcu,22.15342076,6.147303,134.6415
566,mof_unit_pretest_567,1497.9689349999999,915.0531599999999,1608.77,0.25986,0.2562,Cl-COOH,3,1,18,pcu,23.38203963,5.765458,104.16336
567,mof_unit_pretest_568,3350.944846,1731.58248,2035.7,0.24766,0.2886,NH2,2,16,16,pcu,26.45437147,5.953829,105.86858
568,mof_unit_pretest_569,1632.147693,1282.44288,521.6,0.1015799999999999,0.0779,H-NO2,9,4,2,sra,37.93293346,7.097592,150.1437
569,mof_unit_pretest_570,2274.323638,1686.74812,471.19,0.1062,0.0862,HCO-Me,3,14,14,pcu,45.17912779,7.598486999999999,183.9097
570,mof_unit_pretest_571,2254.965223,1352.65684,0.0,0.13565,0.1362,OMe-HCO,9,11,18,sra,69.55720131,7.851908,172.87451
571,mof_unit_pretest_572,2298.707241,851.4391199999999,3129.39,0.45069,0.7328,OEt,3,13,17,pcu,12.35444501,4.9549,50.651928
572,mof_unit_pretest_573,3851.886318,1707.152779,3097.65,0.45121000000000006,0.6131,H-F,3,38,38,fof,13.04801323,4.904367,64.95523
573,mof_unit_pretest_574,1905.014666,1279.70084,1502.09,0.25932,0.2325,SO3H-H,3,2,5,pcu,39.67769545,6.008369999999998,101.23964
574,mof_unit_pretest_575,1637.7787970000004,1023.3114400000001,1402.66,0.2394,0.2307,NO2,9,4,11,sra,15.87300568,5.471287,70.27199
575,mof_unit_pretest_576,2033.305839,1747.1175600000001,767.19,0.15499000000000002,0.1086,OH-Br,2,9,18,pcu,31.66796511,6.520723,128.22897
576,mof_unit_pretest_577,4181.582735,2465.24428,0.0,0.12082000000000001,0.1234,Pr-NHMe,1,24,24,pcu,16.70227713,6.095968,138.21686
577,mof_unit_pretest_578,3498.4796909999995,1454.622936,3225.46,0.39896,0.5778,F-COOH,9,6,18,sra,17.35845046,5.689849,68.91723
578,mof_unit_pretest_579,2130.376481,1524.84808,0.0,0.08437,0.071,CN,9,2,18,sra,133.05765490000002,8.743799000000001,188.19135
579,mof_unit_pretest_580,2014.093877,1109.94464,1906.06,0.25921,0.2833,COOH-SO3H,2,18,24,pcu,30.19956071,5.750742,102.74353
580,mof_unit_pretest_581,2550.766209,1142.32776,2101.19,0.25738,0.3461,Pr-OMe,2,7,10,pcu,14.18077826,6.717892,134.9144
581,mof_unit_pretest_582,1783.6799469999999,1053.24472,1983.69,0.31776,0.3241,Br,2,14,26,pcu,20.01597398,5.48117,83.11679
582,mof_unit_pretest_583,4207.91458,2089.543136,1973.25,0.3967,0.4811,Et-Br,10,43,54,etb,21.5088892,5.6286510000000005,74.77588
583,mof_unit_pretest_584,2794.9682559999997,1565.7264400000001,1600.25,0.22374000000000002,0.2405,OH-NH2,9,10,28,sra,39.73816967,6.890239,122.0607
584,mof_unit_pretest_585,5431.277461,2289.6810800000007,2911.99,0.3063,0.4376,OMe-H,4,7,7,acs,21.35634226,5.782266,88.590996
585,mof_unit_pretest_586,4011.1402659999994,2785.67,805.86,0.15353,0.1331,Pr,4,11,15,acs,35.66643059,6.877653,159.77985
586,mof_unit_pretest_587,2055.333661,1080.00464,1684.41,0.25769000000000003,0.2953,OH-OMe,2,9,18,pcu,19.65229671,5.595554,104.17671
587,mof_unit_pretest_588,1543.971042,1448.50924,1019.83,0.2346,0.1506,Br,2,1,17,pcu,15.95925755,5.507869,77.53439
588,mof_unit_pretest_589,1530.93992,985.8457199999999,759.25,0.13567,0.1269,OMe,2,1,18,pcu,22.84230123,6.8580630000000005,171.91043
589,mof_unit_pretest_590,1331.961876,697.50896,2213.92,0.30983,0.3563,H-HCO,2,1,13,pcu,21.74312628,5.953868,106.8082
590,mof_unit_pretest_591,1335.213219,815.7078,1329.58,0.23744,0.2341,SO3H,2,14,16,pcu,24.56963322,6.240585,145.83319
591,mof_unit_pretest_592,1098.848639,745.6794,0.0,0.08132,0.0722,OH-OPr,2,4,24,pcu,27.99258059,7.385299000000002,136.78358
592,mof_unit_pretest_593,2182.673992,1970.660877,493.29,0.12642,0.0843,F-Cl,2,22,22,pcu,22.68228294,5.991147,117.44569
593,mof_unit_pretest_594,1639.0295529999999,723.63896,2975.33,0.33081,0.4512,NHMe-CN,2,1,23,pcu,13.49805134,5.063808,63.658073
594,mof_unit_pretest_595,1652.07784,1060.10556,1473.99,0.25028,0.2349,H-Cl,2,14,23,pcu,25.31734659,5.77343,105.38803
595,mof_unit_pretest_596,1172.068041,1217.136666,0.0,0.0,0.0,F-NO2,3,4,22,pcu,34.33581214,6.6750300000000005,80.913536
596,mof_unit_pretest_597,2337.390149,977.50764,3038.36,0.39319,0.5662,HCO,3,18,24,pcu,11.77477443,5.3494589999999995,66.59568
597,mof_unit_pretest_598,3505.035869,1396.75708,3177.16,0.39323,0.5943,Ph,9,6,18,sra,30.70428821,6.067214,74.68935
598,mof_unit_pretest_599,1078.896369,946.5056800000001,0.0,0.11382,0.0781,COOH,2,10,10,pcu,64.29638934,7.866691,113.07269
599,mof_unit_pretest_600,3500.81381,2091.05494,2087.13,0.33718000000000004,0.34,I-NH2,9,6,18,sra,33.27708198,6.2773910000000015,87.084114
600,mof_unit_pretest_601,1541.7370349999999,1266.1521400000001,853.08,0.17705,0.1298,NO2-I,3,14,18,pcu,50.08706807,7.157073,149.0221
601,mof_unit_pretest_602,1925.5422010000002,1347.5486,1191.74,0.21734,0.187,Br-Cl,9,13,24,sra,10.46392552,5.606559,76.1908
602,mof_unit_pretest_603,1955.4523510000001,1484.88884,574.92,0.12449,0.0987,H,4,4,4,acs,59.10678498,8.583704,204.88037
603,mof_unit_pretest_604,1114.791297,755.18304,1107.37,0.19665,0.1748,NO2-OH,3,4,24,pcu,37.741563799999994,6.4051589999999985,143.239
604,mof_unit_pretest_605,3568.4201590000002,1138.29908,3403.34,0.46108000000000005,0.8705,Pr-H,2,17,26,pcu,10.22717227,5.3194349999999995,59.38002
605,mof_unit_pretest_606,5163.3352,2551.755558,2183.82,0.30244,0.3685,F-Pr,12,12,22,bcu,17.65432981,5.696829,83.270966
606,mof_unit_pretest_607,2273.201421,1452.76416,1436.33,0.23493000000000003,0.2214,NHMe,4,14,19,acs,27.46888969,5.850702,93.9344
607,mof_unit_pretest_608,946.4211029999999,701.4296,0.0,0.125,0.1016,NHMe-Br,2,4,5,pcu,36.72946389,6.342058,100.28046
608,mof_unit_pretest_609,1628.845294,919.4720359999999,1909.51,0.24595,0.2624,F-Ph,3,22,25,pcu,10.88930569,5.11402,76.65409
